n_count, org_name
5, "AEROMONAS SPECIES"
5, "CITROBACTER AMALONATICUS"
5, "ASPERGILLUS NIGER"
5, "BACTERIA"
5, "PRESUMPTIVE GARDNERELLA VAGINALIS"
5, "EIKENELLA CORRODENS"
4, "CITROBACTER SPECIES"
4, "PRESUMPTIVE CLOSTRIDIUM SEPTICUM"
4, "ADENOVIRUS"
4, "CRYPTOCOCCUS NEOFORMANS"
4, "CRYPTOSPORIDIUM PARVUM OOCYSTS SEEN"
4, "POSITIVE FOR PNEUMOCYSTIS CARINII"
4, "CANDIDA KRUSEI"
4, "PORPHYROMONAS SPECIES"
4, "PASTEURELLA MULTOCIDA"
4, "CANDIDA DUBLINIENSIS"
4, "ACIDFAST BACILLI"
4, "ENTEROBACTER SAKAZAKII"
4, "SERRATIA LIQUEFACIENS"
4, "ASPERGILLUS SPECIES"
4, "NOCARDIA ASTEROIDES COMPLEX "
4, "FEW BLASTOCYSTIS HOMINIS"
4, "ASPERGILLUS SP. NOT FUMIGATUS, FLAVUS OR NIGER"
4, "MICROCOCCUS/STOMATOCOCCUS SPECIES"
3, "ACINETOBACTER SP."
3, "STREPTOCOCCUS ANGINOSUS"
3, "GRAM VARIABLE RODS"
3, "NOCARDIA FARCINICA"
3, "POSITIVE FOR PARAINFLUENZA TYPE 3"
3, "AEROMONAS HYDROPHILA"
3, "NO GROWTH"
3, "STREPTOCOCCUS MITIS"
3, "MYCELIA STERILIA"
3, "GRAM NEGATIVE DIPLOCOCCI"
3, "STREPTOCOCCUS BOVIS "
3, "FUSOBACTERIUM SPECIES"
3, "LEUCONOSTOC SPECIES"
3, "PANTOEA (ENTEROBACTER) AGGLOMERANS"
3, "KLUYVERA SPECIES"
3, "CAPNOCYTOPHAGA SPECIES"
3, "GEOTRICHIUM SPECIES"
3, "MYCOBACTERIUM TUBERCULOSIS COMPLEX"
3, "ENTEROCOCCUS CASSELIFLAVUS"
3, "SALMONELLA DUBLIN"
3, "ENTEROBACTER ASBURIAE"
3, "ALCALIGENES XYLOSOXIDANS"
3, "VIBRIO SPECIES"
2, "CITROBACTER YOUNGAE"
2, "ABIOTROPHIA/GRANULICATELLA SPECIES"
2, "ACHROMOBACTER (ALCALIGENES) DENTRIFICANS"
2, "AEROCOCCUS VIRIDANS"
2, "ALCALIGENES (ACHROMOBACTER) SPECIES"
2, "ASPERGILLUS FLAVUS"
2, "ASPERGILLUS VERSICOLOR GROUP "
2, "AUREOBASIDIUM PULLULANS"
2, "BACTEROIDES FRAGILIS"
2, "BURKHOLDERIA SPECIES"
2, "CANCELLED"
2, "CANDIDA KEFYR"
2, "CANDIDA KRUSEI / CANDIDA INCONSPICUA"
2, "CANDIDA SPECIES"
2, "CLONORCHIS/OPISTHORCHIS GROUP:  EGGS"
2, "CLOSTRIDIUM SPECIES"
2, "CORYNEBACTERIUM UREALYTICUM SP. NOV."
2, "CRYPTOCOCCUS SPECIES"
2, "CUNNINGHAMELLA SP."
2, "ENTEROBACTER GERGOVIAE"
2, "ENTEROCOCCUS AVIUM"
2, "ENTEROCOCCUS GALLINARUM"
2, "ENTEROCOCCUS RAFFINOSUS"
2, "FUNGUS"
2, "FUSARIUM SPECIES"
2, "GARDNERELLA  VAGINALIS"
2, "GEMELLA SPECIES"
2, "HAEMOPHILUS PARAINFLUENZAE"
2, "LEGIONELLA PNEUMOPHILA "
2, "MICROSPORIDIUM SPECIES SEEN"
2, "MODERATE BLASTOCYSTIS HOMINIS"
2, "MORAXELLA SPECIES"
2, "MUCOR SP."
2, "MYCOBACTERIUM FORTUITUM"
2, "MYCOBACTERIUM GORDONAE"
2, "PAECILOMYCES SPECIES"
2, "PARAINFLUENZA VIRUS TYPE 3"
2, "PITHOMYCES SP."
2, "POSITIVE FOR CYTOMEGALOVIRUS"
2, "POSITIVE FOR HERPES SIMPLEX TYPE 2 (HSV2)"
2, "POSITIVE FOR M. TUBERCULOSIS BY MTD"
2, "POSITIVE FOR PNEUMOCYSTIS JIROVECII (CARINII)"
2, "PRESUMPTIVE FUSOBACTERIUM MORTIFERUM/VARIUM GROUP"
2, "PROBABLE LACTOBACILLUS SPECIES"
2, "PROPIONIBACTERIUM SPECIES"
2, "PROVIDENCIA RETTGERI"
2, "PSEUDOMONAS LUTEOLA"
2, "RESPIRATORY SYNCYTIAL VIRUS (RSV)"
2, "RHIZOPUS SPECIES"
2, "SALMONELLA HADAR"
2, "SALMONELLA SPECIES"
2, "SCOPULARIOPSIS BREVICAULIS"
2, "STREPTOCOCCUS ORALIS"
2, "STREPTOCOCCUS VESTIBULARIS"
2, "TRICHODERMA SP."
2, "VEILLONELLA SPECIES"
1, "MYCOBACTERIUM KANSASII"
1, "MYCOBACTERIUM TUBERCULOSIS"
1, "GEOTRICHUM CAPITATUM"
1, "MYCOPLASMA HOMINIS"
1, "MYCOPLASMA SPECIES"
1, "NEISSERIA GONORRHOEAE"
1, "GEMELLA (STREPTOCOCCUS) MORBILLORUM"
1, "FUSOBACTERIUM NECROPHORUM"
1, "NEISSERIA SPECIES, NOT GONORRHOEAE"
1, "NEISSERIA SUBFLAVA"
1, "FONSECAEA PEDROSOI"
1, "NOCARDIA ASTEROIDES"
1, "EXOPHIALA JEANSELMEI"
1, "ESCHERICHIA FERGUSONII"
1, "NOCARDIA SPECIES"
1, "ENTEROCOCCUS MUNDTII"
1, "ENTEROBACTER AGGLOMERANS"
1, "OCHROBACTRUM ANTHROPI"
1, "ENTAMOEBA HISTOLYTICA/DISPAR"
1, "ORGANISM(S)"
1, "STREPTOCOCCUS SALIVARIUS"
1, "ENTAMOEBA HARTMANNI"
1, "ENTAMOEBA COLI"
1, "PARAINFLUENZA VIRUS TYPE 1"
1, "STREPTOCOCCUS SANGUIS"
1, "ENDOLIMAX NANA"
1, "PASTEURELLA SPECIES"
1, "PEDIOCOCCUS SPECIES"
1, "ELIZABETHKINGIA (CHRYSEOBACTERIUM) MENIGOSEPTICA"
1, "AEROMONAS HYDROPHILIA COMPLEX"
1, "PLESIOMONAS SHIGELLOIDES"
1, "DOLOSIGRANULUM PIGRUM"
1, "POSITIVE FOR ADENOVIRUS"
1, "ACREMONIUM SPECIES"
1, "POSITIVE FOR GROUP B BETA STREP"
1, "POSITIVE FOR HERPES SIMPLEX (HSV)"
1, "POSITIVE FOR HERPES SIMPLEX TYPE 1 (HSV1)"
1, "STREPTOMYCES SPECIES"
1, "DEMATIACEOUS MOLD"
1, "POSITIVE FOR INFLUENZA B VIRAL ANTIGEN"
1, "STRONGYLOIDES STERCORALIS "
1, "POSITIVE FOR PARAINFLUENZA TYPE 1"
1, "CYTOMEGALOVIRUS "
1, "POSITIVE FOR PARAINFLUENZA VIRUS"
1, "CURVULARIA SP."
1, "SYNCEPHALASTRUM SPECIES"
1, "POSITIVE FOR RESPIRATORY SYNCYTIAL VIRUS (RSV)"
1, "POSITIVE FOR RSV VIRAL ANTIGEN"
1, "POSITIVE FOR UREAPLASMA UREALYTICUM"
1, "POSITIVE FOR VARICELLA ZOSTER"
1, "CRONOBACTER (ENTEROBACTER) SAKAZAKII"
1, "CORYNEBCATERIUM AMYCOLATUM"
1, "TAENIA SP."
1, "CORYNEBACTERIUM STRIATUM"
1, "PRESUMPTIVE MORAXELLA CATARRHALIS"
1, "CORYNEBACTERIUM JEIKEIUM (C.D.C. GROUP JK)"
1, "COCCIDIOIDES IMMITIS"
1, "CLOSTRIDIUM TERTIUM"
1, "CLOSTRIDIUM SEPTICUM"
1, "PREVOTELLA (BACTEROIDES) BUCCAE"
1, "CLADOSPORIUM SPECIES"
1, "CITROBACTER  KOSERI (DIVERSUS)"
1, "CHRYSEOBACTERIUM MENINGOSEPTICUM"
1, "TICK CONSISTENT WITH IXODES SPECIES"
1, "CHRYSEOBACTERIUM INDOLOGENES"
1, "CHLAMYDIA TRACHOMATIS"
1, "ACHROMOBACTER (ALCALIGENES) XYLOSOXIDANS SS DENTRIFICANS"
1, "CHILOMASTIX MESNILI"
1, "CHAETOMIUM SPECIES"
1, "CDC GROUP IIB"
1, "PROTEUS VULGARIS GROUP"
1, "TRICHOPHYTON SPECIES"
1, "PROVIDENCIA SPECIES"
1, "CANDIDA DUBLIENSIS"
1, "PSEUDALLESCHERIA BOYDII "
1, "CAMPYLOBACTER SPECIES"
1, "PSEUDOMONAS FLUORESCENS"
1, "TRICHOSPORON ASAHII"
1, "PSEUDOMONAS PUTIDA "
1, "PSEUDOMONAS PUTIDA/FLUORESCENS"
1, "PSEUDOMONAS SPECIES"
1, "PSEUDOMONAS STUTZERI"
1, "RALSTONIA PICKETTII"
1, "RAOULTELLA ORNITHINOLYTICA"
1, "CAMPYLOBACTER JEJUNI"
1, "AEROCOCCUS SPECIES"
1, "RHINOVIRUS"
1, "RHIZOMUCOR SPECIES"
1, "ZYGOMYCETES"
1, "RHODOTORULA SPECIES"
1, "ROTHIA (STOMATOCOCCUS) MUCILAGINOSA"
1, "SACCHAROMYCES CEREVISIAE"
1, "BORDETELLA SPECIES"
1, "SALMONELLA ENTERITIDIS"
1, "VERTICILLIUM SP."
1, "ACTINOMYCETE"
1, "BORDETELLA BRONCHISEPTICA"
1, "ACTINOMYCES ODONTOLYTICUS"
1, "BLASTOCYSTIS HOMINIS"
1, "BEAUVERIA BASSIANA"
1, "SERRATIA RUBIDAEA"
1, "BASIDIOMYCETE"
1, "SHEWANELLA SPECIES"
1, "SHIGELLA FLEXNERI"
1, "SLACKIA EXIGUA"
1, "SPOROBOLOMYCES SALMONICOLOR"
1, "STACHYBOTRYS SPP."
1, "STEMPHYLIUM SP."
1, "BACTEROIDES UREOLYTICUS GROUP"
1, "ASPERGILLUS USTUS"
1, "ASPERGILLUS TERREUS"
1, "ASPERGILLUS NIDULANS"
1, "STREPTOCOCCUS CONSTELLATUS"
1, "LACTOCOCCUS SPECIES"
1, "LECLERCIA ADECARBOXYLATA"
1, "STREPTOCOCCUS INFANTARIUS SSP. COLI (STREPTOCOCCUS BOVIS)"
1, "LEGIONELLA PNEUMOPHILA, GROUP 1"
1, "LEGIONELLA SPECIES"
1, "LEPTOTRICHIA TREVISANII"
1, "LACTOBACILLUS CASEI"
1, "LISTERIA MONOCYTOGENES"
1, "MALASSEZIA FURFUR"
1, "MALASSEZIA PACHYDERMATIS"
1, "MALASSEZIA SPECIES"
1, "MANY BLASTOCYSTIS HOMINIS"
1, "KLEBSIELLA OZAENAE"
1, "ASCARIS LUMBRICOIDES"
1, "ANAEROBIC GRAM NEGATIVE ROD #2"
1, "INFLUENZA B VIRUS"
1, "INFLUENZA A VIRUS"
1, "HISTOPLASMA CAPSULATUM"
1, "GRAM NEGATIVE COCCI"
1, "MORAXELLA OSLOENSIS"
1, "ANAEROBIC BACTERIA"
1, "GORDONIA SPECIES"
1, "STREPTOCOCCUS MUTANS"
1, "GIARDIA LAMBLIA SEEN"
1, "MYCOBACTERIUM ABSCESSUS"
1, "GIARDIA LAMBLIA"
1, "ACTINOMYCES MEYERII"
1, "ALCALIGENES FAECALIS"
